name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
A-Bomb,Male,yellow,Human,No Hair,203.0,Marvel Comics,-,good,441.0
Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191.0,Dark Horse Comics,blue,good,65.0
Abin Sur,Male,blue,Ungaran,No Hair,185.0,DC Comics,red,good,90.0
Abomination,Male,green,Human / Radiation,No Hair,203.0,Marvel Comics,-,bad,441.0
Abraxas,Male,blue,Cosmic Entity,Black,-99.0,Marvel Comics,-,bad,-99.0
Absorbing Man,Male,blue,Human,No Hair,193.0,Marvel Comics,-,bad,122.0
Adam Monroe,Male,blue,-,Blond,-99.0,NBC - Heroes,-,good,-99.0
Adam Strange,Male,blue,Human,Blond,185.0,DC Comics,-,good,88.0
Agent 13,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
Agent Bob,Male,brown,Human,Brown,178.0,Marvel Comics,-,good,81.0
Agent Zero,Male,-,-,-,191.0,Marvel Comics,-,good,104.0
Air-Walker,Male,blue,-,White,188.0,Marvel Comics,-,bad,108.0
Ajax,Male,brown,Cyborg,Black,193.0,Marvel Comics,-,bad,90.0
Alan Scott,Male,blue,-,Blond,180.0,DC Comics,-,good,90.0
Alex Mercer,Male,-,Human,-,-99.0,Wildstorm,-,bad,-99.0
Alex Woolsly,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Alfred Pennyworth,Male,blue,Human,Black,178.0,DC Comics,-,good,72.0
Alien,Male,-,Xenomorph XX121,No Hair,244.0,Dark Horse Comics,black,bad,169.0
Allan Quatermain,Male,-,-,-,-99.0,Wildstorm,-,good,-99.0
Amazo,Male,red,Android,-,257.0,DC Comics,-,bad,173.0
Ammo,Male,brown,Human,Black,188.0,Marvel Comics,-,bad,101.0
Ando Masahashi,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Angel,Male,blue,-,Blond,183.0,Marvel Comics,-,good,68.0
Angel,Male,-,Vampire,-,-99.0,Dark Horse Comics,-,good,-99.0
Angel Dust,Female,yellow,Mutant,Black,165.0,Marvel Comics,-,good,57.0
Angel Salvadore,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
Angela,Female,-,-,-,-99.0,Image Comics,-,bad,-99.0
Animal Man,Male,blue,Human,Blond,183.0,DC Comics,-,good,83.0
Annihilus,Male,green,-,No Hair,180.0,Marvel Comics,-,bad,90.0
Ant-Man,Male,blue,Human,Blond,211.0,Marvel Comics,-,good,122.0
Ant-Man II,Male,blue,Human,Blond,183.0,Marvel Comics,-,good,86.0
Anti-Monitor,Male,yellow,God / Eternal,No Hair,61.0,DC Comics,-,bad,-99.0
Anti-Spawn,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Anti-Venom,Male,blue,Symbiote,Blond,229.0,Marvel Comics,-,-,358.0
Apocalypse,Male,red,Mutant,Black,213.0,Marvel Comics,grey,bad,135.0
Aquababy,Male,blue,-,Blond,-99.0,DC Comics,-,good,-99.0
Aqualad,Male,blue,Atlantean,Black,178.0,DC Comics,-,good,106.0
